6000.00, 5.245
6012.50, 5.071
6025.00, 4.326
6037.50, 4.148
6050.00, 5.060
6062.50, 7.125
6075.00, 8.491
6087.50, 7.547
6100.00, 6.300
6112.50, 5.734
6125.00, 5.757
6137.50, 5.744
6150.00, 5.701
6162.50, 6.020
6175.00, 6.609
6187.50, 6.324
6200.00, 4.868
6212.50, 3.700
6225.00, 3.222
6237.50, 3.374
6250.00, 3.617
6262.50, 3.492
6275.00, 3.299
6287.50, 3.270
6300.00, 3.417
6312.50, 3.395
6325.00, 3.126
6337.50, 3.108
6350.00, 3.792
6362.50, 5.056
6375.00, 5.384
6387.50, 4.708
6400.00, 3.938
6412.50, 3.535
6425.00, 3.816
6437.50, 4.169
6450.00, 4.215
6462.50, 4.347
6475.00, 4.922
6487.50, 5.424
6500.00, 4.892
6512.50, 3.700
6525.00, 2.886
6537.50, 3.371
6550.00, 4.449
6562.50, 4.653
6575.00, 4.106
6587.50, 3.564
6600.00, 3.523
6612.50, 3.616
6625.00, 3.217
6637.50, 2.757
6650.00, 3.184
6662.50, 4.442
6675.00, 5.080
6687.50, 4.308
6700.00, 3.030
6712.50, 2.502
6725.00, 3.023
6737.50, 3.280
6750.00, 2.852
6762.50, 2.535
6775.00, 2.707
6787.50, 2.946
6800.00, 2.659
6812.50, 1.981
6825.00, 1.674
6837.50, 2.169
6850.00, 2.539
6862.50, 2.411
6875.00, 2.076
6887.50, 1.898
6900.00, 2.011
6912.50, 1.999
6925.00, 1.661
6937.50, 1.523
6950.00, 2.019
6962.50, 2.531
6975.00, 2.512
6987.50, 1.982
7000.00, 1.408
7012.50, 1.382
7025.00, 1.616
7037.50, 1.568
7050.00, 1.448
7062.50, 1.572
7075.00, 1.814
7087.50, 1.845
7100.00, 1.593
7112.50, 1.249
7125.00, 1.147
7137.50, 1.345
7150.00, 1.452
7162.50, 1.419
7175.00, 1.311
7187.50, 1.275
7200.00, 1.387
7212.50, 1.420
7225.00, 1.301
7237.50, 1.083
7250.00, 1.225
7262.50, 1.522
7275.00, 1.673
7287.50, 1.591
7300.00, 1.408
7312.50, 1.291
7325.00, 1.253
7337.50, 1.169
7350.00, 1.101
7362.50, 1.302
7375.00, 1.534
7387.50, 1.640
7400.00, 1.557
7412.50, 1.353
7425.00, 1.169
7437.50, 1.176
7450.00, 1.248
7462.50, 1.300
7475.00, 1.423
7487.50, 1.606
7500.00, 1.703
7512.50, 1.558
7525.00, 1.236
7537.50, 1.117
7550.00, 1.391
7562.50, 1.528
7575.00, 1.503
7587.50, 1.484
7600.00, 1.522
7612.50, 1.483
7625.00, 1.274
7637.50, 1.018
7650.00, 1.247
7662.50, 1.464
7675.00, 1.500
7687.50, 1.342
7700.00, 1.209
7712.50, 1.182
7725.00, 1.174
7737.50, 1.110
7750.00, 1.075
7762.50, 1.275
7775.00, 1.445
7787.50, 1.521
7800.00, 1.387
7812.50, 1.203
7825.00, 1.050
7837.50, 1.133
7850.00, 1.132
7862.50, 1.048
7875.00, 1.155
7887.50, 1.334
7900.00, 1.493
7912.50, 1.514
7925.00, 1.416
7937.50, 1.311
7950.00, 1.274
7962.50, 1.331
7975.00, 1.283
7987.50, 1.141
8000.00, 1.078
8012.50, 1.300
8025.00, 1.478
8037.50, 1.505
8050.00, 1.432
8062.50, 1.452
8075.00, 1.631
8087.50, 1.728
8100.00, 1.557
8112.50, 1.283
8125.00, 1.164
8137.50, 1.351
8150.00, 1.403
8162.50, 1.321
8175.00, 1.352
8187.50, 1.523
8200.00, 1.679
8212.50, 1.621
8225.00, 1.456
8237.50, 1.340
8250.00, 1.352
8262.50, 1.346
8275.00, 1.263
8287.50, 1.194
8300.00, 1.309
8312.50, 1.443
8325.00, 1.527
8337.50, 1.537
8350.00, 1.621
8362.50, 1.679
8375.00, 1.651
8387.50, 1.512
8400.00, 1.408
8412.50, 1.403
8425.00, 1.391
8437.50, 1.338
8450.00, 1.442
8462.50, 1.618
8475.00, 1.735
8487.50, 1.646
8500.00, 1.550
