6000.00, 0.000
6012.50, 0.000
6025.00, 0.000
6037.50, 0.000
6050.00, 0.000
6062.50, 0.001
6075.00, 0.001
6087.50, 0.001
6100.00, 0.001
6112.50, 0.001
6125.00, 0.001
6137.50, 0.001
6150.00, 0.001
6162.50, 0.001
6175.00, 0.001
6187.50, 0.001
6200.00, 0.001
6212.50, 0.001
6225.00, 0.001
6237.50, 0.001
6250.00, 0.001
6262.50, 0.001
6275.00, 0.002
6287.50, 0.001
6300.00, 0.002
6312.50, 0.002
6325.00, 0.002
6337.50, 0.002
6350.00, 0.002
6362.50, 0.002
6375.00, 0.003
6387.50, 0.003
6400.00, 0.003
6412.50, 0.004
6425.00, 0.004
6437.50, 0.004
6450.00, 0.004
6462.50, 0.004
6475.00, 0.005
6487.50, 0.006
6500.00, 0.005
6512.50, 0.006
6525.00, 0.008
6537.50, 0.008
6550.00, 0.006
6562.50, 0.006
6575.00, 0.008
6587.50, 0.009
6600.00, 0.009
6612.50, 0.009
6625.00, 0.011
6637.50, 0.012
6650.00, 0.011
6662.50, 0.011
6675.00, 0.012
6687.50, 0.013
6700.00, 0.014
6712.50, 0.017
6725.00, 0.019
6737.50, 0.019
6750.00, 0.017
6762.50, 0.018
6775.00, 0.018
6787.50, 0.019
6800.00, 0.019
6812.50, 0.021
6825.00, 0.023
6837.50, 0.024
6850.00, 0.022
6862.50, 0.020
6875.00, 0.022
6887.50, 0.026
6900.00, 0.027
6912.50, 0.026
6925.00, 0.028
6937.50, 0.033
6950.00, 0.030
6962.50, 0.029
6975.00, 0.031
6987.50, 0.036
7000.00, 0.039
7012.50, 0.040
7025.00, 0.042
7037.50, 0.043
7050.00, 0.044
7062.50, 0.044
7075.00, 0.045
7087.50, 0.046
7100.00, 0.048
7112.50, 0.048
7125.00, 0.046
7137.50, 0.046
7150.00, 0.045
7162.50, 0.042
7175.00, 0.041
7187.50, 0.043
7200.00, 0.043
7212.50, 0.040
7225.00, 0.039
7237.50, 0.040
7250.00, 0.041
7262.50, 0.039
7275.00, 0.038
7287.50, 0.038
7300.00, 0.038
7312.50, 0.037
7325.00, 0.037
7337.50, 0.038
7350.00, 0.038
7362.50, 0.037
7375.00, 0.035
7387.50, 0.034
7400.00, 0.034
7412.50, 0.034
7425.00, 0.035
7437.50, 0.037
7450.00, 0.038
7462.50, 0.037
7475.00, 0.036
7487.50, 0.037
7500.00, 0.038
7512.50, 0.041
7525.00, 0.042
7537.50, 0.045
7550.00, 0.047
7562.50, 0.045
7575.00, 0.044
7587.50, 0.043
7600.00, 0.044
7612.50, 0.045
7625.00, 0.045
7637.50, 0.043
7650.00, 0.042
7662.50, 0.040
7675.00, 0.039
7687.50, 0.038
7700.00, 0.037
7712.50, 0.038
7725.00, 0.038
7737.50, 0.038
7750.00, 0.037
7762.50, 0.037
7775.00, 0.038
7787.50, 0.038
7800.00, 0.040
7812.50, 0.040
7825.00, 0.040
7837.50, 0.041
7850.00, 0.041
7862.50, 0.041
7875.00, 0.041
7887.50, 0.041
7900.00, 0.040
7912.50, 0.039
7925.00, 0.040
7937.50, 0.040
7950.00, 0.039
7962.50, 0.038
7975.00, 0.040
7987.50, 0.040
8000.00, 0.039
8012.50, 0.040
8025.00, 0.040
8037.50, 0.040
8050.00, 0.041
8062.50, 0.042
8075.00, 0.042
8087.50, 0.043
8100.00, 0.044
8112.50, 0.044
8125.00, 0.042
8137.50, 0.043
8150.00, 0.042
8162.50, 0.041
8175.00, 0.040
8187.50, 0.038
8200.00, 0.037
8212.50, 0.035
8225.00, 0.035
8237.50, 0.035
8250.00, 0.035
8262.50, 0.035
8275.00, 0.035
8287.50, 0.035
8300.00, 0.035
8312.50, 0.035
8325.00, 0.036
8337.50, 0.038
8350.00, 0.040
8362.50, 0.041
8375.00, 0.042
8387.50, 0.044
8400.00, 0.045
8412.50, 0.046
8425.00, 0.046
8437.50, 0.047
8450.00, 0.046
8462.50, 0.045
8475.00, 0.045
8487.50, 0.044
8500.00, 0.044
